"","SYMBOL"
"686","RBM24"
"687","ITGA2"
"688","CDIN1"
"689","ZNF436"
"690","SCN3A"
"691","GRAMD2B"
"692","SPEN"
"693","ANKRD13D"
"694","PTHLH"
"695","PEX5"
"696","KCTD1"
"697","AREL1"
"698","LRIG1"
"699","CNKSR2"
"700","DEDD"
"701","CSPG5"
"702","RPL14"
"703","ATF6"
"704","KRTAP9-3"
"705","PPP2R5C"
"706","KLHL18"
"707","NSMF"
"708","AMER1"
"709","TFAP4"
"710","CACNB1"
"711","SLURP1"
"712","ABHD13"
"713","PCDHA12"
"714","PCDHA7"
"715","PCDHA5"
"716","PEX12"
"717","DCAF5"
"718","RBMS1"
"719","PCDHA9"
"720","PCDHA13"
"721","PCDHA4"
"722","PCDHA2"
"723","PCDHA1"
"724","PDIA6"
"725","PSKH1"
"726","ARL8B"
"727","SIDT2"
"728","KCNQ5"
"729","MAPK1IP1L"
"730","C11orf53"
"731","PCDHAC1"
"732","MTFR1L"
"733","BCAP29"
"734","CD164"
"735","IARS1"
"736","PDPR"
"737","KMT2A"
"738","CSRNP1"
"739","FRY"
"740","USP19"
"741","NSMCE3"
"742","PLA2G15"
"743","CDC14A"
"744","BAG4"
"745","PIK3R1"
"746","MTHFR"
"747","LMAN2L"
"748","HSPA1B"
"749","MYH13"
"750","GLT1D1"
"751","MAP3K4"
"752","MYO5A"
"753","TM6SF1"
"754","INPP1"
"755","RAPGEF2"
"756","HNRNPA2B1"
"757","CHRNA5"
"758","ISOC1"
"759","CACNA1E"
"760","BRI3"
"761","COL12A1"
"762","ACOT7"
"763","MXD3"
"764","MIDEAS"
"765","CSDE1"
"766","UBE4A"
"767","MAPRE1"
"768","SLC30A8"
"769","TRIM35"
"770","CENPA"
"771","MYBPC1"
"772","GSKIP"
"773","EOLA2"
"774","PTCH1"
"775","PDCD6IP"
"776","THYN1"
"777","DRD1"
"778","CLUH"
"779","RAPH1"
"780","FRYL"
"781","ATP7A"
"782","DEF8"
"783","GGA3"
"784","LRP2"
"785","MOV10"
"786","PHLPP2"
"787","TDRP"
"788","G2E3"
"789","ZSCAN31"
"790","PABIR2"
"791","CCDC81"
"792","ACOX1"
"793","ZDHHC23"
"794","PDCD4"
"795","PCDH17"
"796","CASR"
"797","B4GALT1"
"798","ADAMTS5"
"799","VPS37C"
"800","ABCG4"
"801","DVL1"
"802","MMD"
"803","SSR1"
"804","FKBP1B"
"805","TAF5"
"806","ZNF654"
"807","HOXA3"
"808","CCND3"
"809","TFPI2"
"810","C11orf24"
"811","CCDC179"
"812","AKIRIN1"
"814","AEBP2"
"815","TMEM161B"
"816","USP44"
"817","FLT3"
"818","IVNS1ABP"
"819","CDC42"
"820","INPP5J"
"821","DLK1"
"822","TGIF2LY"
"823","AMMECR1"
"824","MYL1"
"825","MFAP5"
"826","TKTL1"
"827","RANBP3"
"828","RPUSD2"
"829","TFCP2L1"
"830","SMIM13"
"831","DIXDC1"
"832","EIF2B5"
"833","ZNF697"
"834","STXBP5"
"835","TMEM143"
"836","SLC41A2"
"837","COLQ"
"838","KATNB1"
"839","OXA1L"
"840","BICD1"
"841","SOX5"
"842","FAM214A"
"843","SRPK1"
"844","USP3"
"845","PPP2R1B"
"846","AURKAIP1"
"847","PTCD3"
"848","ZNF79"
"849","KLHL2"
"850","GPN1"
"851","ZKSCAN1"
"852","EIF2AK2"
"853","RBM12"
"854","COPS7A"
